Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides Parental_bR1	Peptides Parental_bR2	Peptides Parental_bR3	Peptides Resistant_bR1	Peptides Resistant_bR2	Peptides Resistant_bR3	Razor + unique peptides Parental_bR1	Razor + unique peptides Parental_bR2	Razor + unique peptides Parental_bR3	Razor + unique peptides Resistant_bR1	Razor + unique peptides Resistant_bR2	Razor + unique peptides Resistant_bR3	Unique peptides Parental_bR1	Unique peptides Parental_bR2	Unique peptides Parental_bR3	Unique peptides Resistant_bR1	Unique peptides Resistant_bR2	Unique peptides Resistant_bR3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Identification type Parental_bR1	Identification type Parental_bR2	Identification type Parental_bR3	Identification type Resistant_bR1	Identification type Resistant_bR2	Identification type Resistant_bR3	Sequence coverage Parental_bR1 [%]	Sequence coverage Parental_bR2 [%]	Sequence coverage Parental_bR3 [%]	Sequence coverage Resistant_bR1 [%]	Sequence coverage Resistant_bR2 [%]	Sequence coverage Resistant_bR3 [%]	Intensity	Intensity Parental_bR1	Intensity Parental_bR2	Intensity Parental_bR3	Intensity Resistant_bR1	Intensity Resistant_bR2	Intensity Resistant_bR3	LFQ intensity Parental_bR1	LFQ intensity Parental_bR2	LFQ intensity Parental_bR3	LFQ intensity Resistant_bR1	LFQ intensity Resistant_bR2	LFQ intensity Resistant_bR3	MS/MS Count Parental_bR1	MS/MS Count Parental_bR2	MS/MS Count Parental_bR3	MS/MS Count Resistant_bR1	MS/MS Count Resistant_bR2	MS/MS Count Resistant_bR3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|Q9BQG0|MBB1A_HUMAN	sp|Q9BQG0|MBB1A_HUMAN	4	4	4	>sp|Q9BQG0|MBB1A_HUMAN Myb-binding protein 1A OS=Homo sapiens GN=MYBBP1A PE=1 SV=2	1	4	4	4	3	2	1	0	1	1	3	2	1	0	1	1	3	2	1	0	1	1	4	4	4	148.85	1328	1328	0	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	3.1	2.2	1.3	0	0.7	0.7	169840000	34900000	27533000	14114000	0	39187000	54104000	22298000	0	0	0	0	0	1	1	1	0	1	0	4				1460	1833;4402;4889;6186	True;True;True;True	1838;4412;4900;6199	9066;21839;21840;21841;24198;30252;30253;30254;30255;30256	5630;13612;15100;18921;18922;18923	5630;13612;15100;18921		
sp|Q9BQI0|AIF1L_HUMAN	sp|Q9BQI0|AIF1L_HUMAN	1	1	1	>sp|Q9BQI0|AIF1L_HUMAN Allograft inflammatory factor 1-like OS=Homo sapiens GN=AIF1L PE=1 SV=1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	10	10	10	17.068	150	150	0.0013184	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	10	10	10	0	0	0	171690000	52881000	61456000	57355000	0	0	0	35809000	52278000	48869000	0	0	0	2	2	2	0	0	0	6				1461	554	True	555	2633;2634;2635;2636;2637;2638	1675;1676;1677;1678;1679;1680	1675		
sp|Q9BR76|COR1B_HUMAN	sp|Q9BR76|COR1B_HUMAN	6	6	6	>sp|Q9BR76|COR1B_HUMAN Coronin-1B OS=Homo sapiens GN=CORO1B PE=1 SV=1	1	6	6	6	5	5	5	2	2	2	5	5	5	2	2	2	5	5	5	2	2	2	18.8	18.8	18.8	54.234	489	489	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	15.3	16.8	15.3	4.3	4.3	4.3	428250000	111800000	106010000	102380000	40611000	36063000	31394000	69869000	83090000	73652000	51752000	57702000	52099000	3	5	2	1	1	0	12				1462	298;376;968;3199;3991;7562	True;True;True;True;True;True	297;375;970;3206;3999;7580	1375;1376;1377;1378;1379;1380;1741;1742;1743;1744;1745;1746;1747;1748;1749;1750;4545;4546;15792;19802;19803;19804;36914;36915;36916;36917;36918;36919	885;886;887;888;1129;1130;2910;9859;12364;12365;23143;23144;23145;23146;23147	885;1130;2910;9859;12365;23147		
sp|Q9BRA2|TXD17_HUMAN	sp|Q9BRA2|TXD17_HUMAN	1	1	1	>sp|Q9BRA2|TXD17_HUMAN Thioredoxin domain-containing protein 17 OS=Homo sapiens GN=TXNDC17 PE=1 SV=1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	11.4	11.4	11.4	13.941	123	123	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	11.4	11.4	11.4	0	0	0	119310000	44539000	40596000	34176000	0	0	0	0	0	28720000	0	0	0	1	1	1	0	0	0	3				1463	6369	True	6384	31043;31044;31045	19435;19436;19437	19437		
sp|Q9BRP8|PYM1_HUMAN	sp|Q9BRP8|PYM1_HUMAN	2	2	2	>sp|Q9BRP8|PYM1_HUMAN Partner of Y14 and mago OS=Homo sapiens GN=PYM1 PE=1 SV=1	1	2	2	2	2	2	2	0	0	0	2	2	2	0	0	0	2	2	2	0	0	0	16.7	16.7	16.7	22.655	204	204	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	16.7	16.7	16.7	0	0	0	116930000	33044000	41589000	42300000	0	0	0	24393000	36067000	33249000	0	0	0	1	2	2	0	0	0	5				1464	75;3600	True;True	75;3607	333;334;335;17782;17783;17784	223;224;11098;11099;11100	224;11098		
sp|Q9BRT3|MIEN1_HUMAN	sp|Q9BRT3|MIEN1_HUMAN	1	1	1	>sp|Q9BRT3|MIEN1_HUMAN Migration and invasion enhancer 1 OS=Homo sapiens GN=MIEN1 PE=1 SV=1	1	1	1	1	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	1	0	0	9.6	9.6	9.6	12.403	115	115	0	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	9.6	9.6	0	9.6	0	0	108300000	56446000	45464000	0	6387000	0	0	0	0	0	6387000	0	0	1	1	0	0	0	0	2				1465	2086	True	2092	10254;10255;10256	6380;6381	6381		
sp|Q9BSH4|TACO1_HUMAN	sp|Q9BSH4|TACO1_HUMAN	2	2	2	>sp|Q9BSH4|TACO1_HUMAN Translational activator of cytochrome c oxidase 1 OS=Homo sapiens GN=TACO1 PE=1 SV=1	1	2	2	2	1	2	1	0	0	0	1	2	1	0	0	0	1	2	1	0	0	0	10.1	10.1	10.1	32.477	297	297	0	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	6.7	10.1	6.7	0	0	0	62505000	27572000	20172000	14761000	0	0	0	0	0	12404000	0	0	0	1	1	0	0	0	0	2				1466	1737;2992	True;True	1742;2999	8587;8588;8589;14555	5322;9053	5322;9053		
sp|Q9BSJ8|ESYT1_HUMAN	sp|Q9BSJ8|ESYT1_HUMAN	7	7	7	>sp|Q9BSJ8|ESYT1_HUMAN Extended synaptotagmin-1 OS=Homo sapiens GN=ESYT1 PE=1 SV=1	1	7	7	7	7	7	7	1	1	0	7	7	7	1	1	0	7	7	7	1	1	0	9.9	9.9	9.9	122.85	1104	1104	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	9.9	9.9	9.9	1.4	1.4	0	255090000	95726000	79099000	75818000	3052900	1394100	0	56450000	65628000	61904000	0	0	0	4	2	3	0	0	0	9				1467	836;3423;3965;4580;4826;6602;7470	True;True;True;True;True;True;True	837;3430;3973;4591;4837;6617;7488	3897;3898;3899;16936;16937;16938;19651;19652;19653;22740;22741;22742;22743;22744;23894;23895;23896;32230;32231;32232;36462;36463;36464;36465;36466;36467	2502;10583;12272;12273;12274;14175;14176;14177;14899;20197;22868;22869	2502;10583;12273;14177;14899;20197;22868		
sp|Q9BT78|CSN4_HUMAN	sp|Q9BT78|CSN4_HUMAN	5	5	5	>sp|Q9BT78|CSN4_HUMAN COP9 signalosome complex subunit 4 OS=Homo sapiens GN=COPS4 PE=1 SV=1	1	5	5	5	5	5	5	4	3	3	5	5	5	4	3	3	5	5	5	4	3	3	18.5	18.5	18.5	46.268	406	406	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	18.5	18.5	18.5	15.5	11.1	11.1	369550000	87987000	89220000	85472000	46066000	28337000	32463000	39226000	50370000	42667000	60253000	66090000	80499000	4	3	3	2	1	1	14				1468	690;754;4956;5060;7265	True;True;True;True;True	691;755;4967;5071;7283	3246;3247;3248;3249;3519;3520;3521;24599;24600;24601;24602;24603;24604;25077;25078;25079;25080;25081;25082;35499;35500;35501;35502;35503;35504	2087;2088;2275;2276;15344;15345;15346;15347;15348;15349;15619;15620;15621;15622;15623;22253;22254;22255	2088;2275;15348;15619;22253		
sp|Q9BTC8|MTA3_HUMAN;sp|Q13330|MTA1_HUMAN	sp|Q9BTC8|MTA3_HUMAN;sp|Q13330|MTA1_HUMAN	2;1	2;1	2;1	>sp|Q9BTC8|MTA3_HUMAN Metastasis-associated protein MTA3 OS=Homo sapiens GN=MTA3 PE=1 SV=2;>sp|Q13330|MTA1_HUMAN Metastasis-associated protein MTA1 OS=Homo sapiens GN=MTA1 PE=1 SV=2	2	2	2	2	1	2	1	0	0	0	1	2	1	0	0	0	1	2	1	0	0	0	4.9	4.9	4.9	67.503	594	594;715	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	1.9	4.9	1.9	0	0	0	73283000	23163000	31953000	18167000	0	0	0	0	27068000	0	0	0	0	1	3	1	0	0	0	5				1469	4783;7163	True;True	4794;7180	23717;23718;23719;34932	14787;14788;14789;21882;21883	14787;21883		
sp|Q9BTD8|RBM42_HUMAN	sp|Q9BTD8|RBM42_HUMAN	1	1	1	>sp|Q9BTD8|RBM42_HUMAN RNA-binding protein 42 OS=Homo sapiens GN=RBM42 PE=1 SV=1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	3.5	3.5	3.5	50.413	480	480	0.001476	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	3.5	3.5	3.5	3.5	0	3.5	28882000	11291000	5057900	4056500	4400800	0	4075600	0	0	0	0	0	5544500	1	1	1	1	0	1	5				1470	3355	True	3362	16555;16556;16557;16558;16559;16560	10336;10337;10338;10339;10340	10339		
sp|Q9BTE7|DCNL5_HUMAN	sp|Q9BTE7|DCNL5_HUMAN	1	1	1	>sp|Q9BTE7|DCNL5_HUMAN DCN1-like protein 5 OS=Homo sapiens GN=DCUN1D5 PE=1 SV=1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	5.1	5.1	5.1	27.508	237	237	0.001297	By matching	By matching	By matching	By MS/MS	By matching	By matching	0	0	0	5.1	5.1	5.1	34788000	0	0	0	16815000	7073400	10899000	0	0	0	0	0	14827000	0	0	0	1	0	0	1				1471	2832	True	2839	13829;13830;13831	8597	8597		
sp|Q9BTT0|AN32E_HUMAN	sp|Q9BTT0|AN32E_HUMAN	3	3	3	>sp|Q9BTT0|AN32E_HUMAN Acidic leucine-rich nuclear phosphoprotein 32 family member E OS=Homo sapiens GN=ANP32E PE=1 SV=1	1	3	3	3	2	2	2	3	2	3	2	2	2	3	2	3	2	2	2	3	2	3	11.2	11.2	11.2	30.692	268	268	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	11.2	11.2	11.2	11.2	5.2	11.2	56306000	9874200	8497400	9909200	11463000	7824000	8737800	7116100	7098400	7769700	11857000	0	0	1	1	1	2	1	1	7				1472	1288;3478;6104	True;True;True	1291;3485;6117	6205;6206;6207;17246;17247;17248;17249;17250;17251;29892;29893;29894;29895;29896	3882;3883;3884;10764;18694;18695;18696	3884;10764;18695		
sp|Q9BTZ2|DHRS4_HUMAN	sp|Q9BTZ2|DHRS4_HUMAN	1	1	1	>sp|Q9BTZ2|DHRS4_HUMAN Dehydrogenase/reductase SDR family member 4 OS=Homo sapiens GN=DHRS4 PE=1 SV=3	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	4.7	4.7	4.7	29.537	278	278	0.0013615	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	4.7	4.7	4.7	0	0	0	19226000	8405200	5948600	4872000	0	0	0	0	0	4094200	0	0	0	1	1	1	0	0	0	3				1473	4101	True	4109	20330;20331;20332	12689;12690;12691	12689		
sp|Q9BU23|LMF2_HUMAN	sp|Q9BU23|LMF2_HUMAN	1	1	1	>sp|Q9BU23|LMF2_HUMAN Lipase maturation factor 2 OS=Homo sapiens GN=LMF2 PE=1 SV=2	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	3	3	3	79.697	707	707	0.00077042	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	3	3	3	0	0	0	16099000	5480800	4420300	6197900	0	0	0	0	0	5208500	0	0	0	1	1	2	0	0	0	4				1474	1375	True	1379	6678;6679;6680	4159;4160;4161;4162	4160		
sp|Q9BUF5|TBB6_HUMAN	sp|Q9BUF5|TBB6_HUMAN	4	2	2	>sp|Q9BUF5|TBB6_HUMAN Tubulin beta-6 chain OS=Homo sapiens GN=TUBB6 PE=1 SV=1	1	4	2	2	2	2	2	4	4	4	0	0	0	2	2	2	0	0	0	2	2	2	21.3	9.4	9.4	49.857	446	446	0	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	11.9	11.9	11.9	21.3	21.3	21.3	257000000	0	0	0	104390000	69375000	83235000	0	0	0	126150000	92192000	98206000	0	0	0	2	0	0	2				1475	1843;4849;5345;7497	True;True;False;False	1849;4860;5356;7515	9110;9111;9112;9113;9114;9115;24010;24011;24012;26440;26441;26442;26443;26444;26445;36573;36574;36575;36576;36577;36578;36579;36580;36581	5659;5660;14975;16494;16495;16496;16497;16498;16499;22947;22948;22949;22950;22951;22952;22953	5659;14975;16494;22951		
sp|Q9BUJ2|HNRL1_HUMAN	sp|Q9BUJ2|HNRL1_HUMAN	3	3	3	>sp|Q9BUJ2|HNRL1_HUMAN Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens GN=HNRNPUL1 PE=1 SV=2	1	3	3	3	3	2	3	0	0	0	3	2	3	0	0	0	3	2	3	0	0	0	6.5	6.5	6.5	95.737	856	856	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	6.5	4.3	6.5	0	0	0	100520000	43213000	19418000	37885000	0	0	0	30453000	0	31372000	0	0	0	2	1	2	0	0	0	5				1476	229;5418;5540	True;True;True	229;5429;5551	1075;1076;1077;26746;26747;26748;27277;27278	674;675;676;16693;16694;16695;17029;17030	676;16694;17029		
sp|Q9BUK6|MSTO1_HUMAN	sp|Q9BUK6|MSTO1_HUMAN	1	1	1	>sp|Q9BUK6|MSTO1_HUMAN Protein misato homolog 1 OS=Homo sapiens GN=MSTO1 PE=1 SV=1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	2.1	2.1	2.1	61.835	570	570	0.0080183	By matching	By MS/MS	By matching	By matching	By matching	By matching	2.1	2.1	2.1	0	2.1	2.1	67537000	13391000	15287000	13845000	0	12864000	12151000	0	0	0	0	0	16530000	0	0	0	0	0	0	0				1477	34	True	34	161;162;163;164;165	117	117		
sp|Q9BUP0|EFHD1_HUMAN	sp|Q9BUP0|EFHD1_HUMAN	2	2	2	>sp|Q9BUP0|EFHD1_HUMAN EF-hand domain-containing protein D1 OS=Homo sapiens GN=EFHD1 PE=1 SV=1	1	2	2	2	2	1	1	0	0	0	2	1	1	0	0	0	2	1	1	0	0	0	19.2	19.2	19.2	26.927	239	239	0	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	19.2	6.7	6.7	0	0	0	38292000	21944000	8649000	7699000	0	0	0	15228000	0	0	0	0	0	0	0	0	0	0	0	0				1478	590;5773	True;True	591;5784	2800;2801;2802;28362	1775;17704	1775;17704		
sp|Q9BUQ8|DDX23_HUMAN	sp|Q9BUQ8|DDX23_HUMAN	2	2	2	>sp|Q9BUQ8|DDX23_HUMAN Probable ATP-dependent RNA helicase DDX23 OS=Homo sapiens GN=DDX23 PE=1 SV=3	1	2	2	2	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	3.8	3.8	3.8	95.581	820	820	0	By matching	By matching	By matching	By MS/MS	By matching	By MS/MS	0	1.3	1.3	2.4	2.4	1.3	52301000	0	4748900	25028000	6867500	1795200	13862000	0	0	0	0	2560000	0	0	0	0	1	0	0	1				1479	1157;3298	True;True	1160;3305	5486;5487;5488;16246;16247	3463;10147	3463;10147		
sp|Q9BUV8|CT024_HUMAN	sp|Q9BUV8|CT024_HUMAN	1	1	1	>sp|Q9BUV8|CT024_HUMAN Uncharacterized protein C20orf24 OS=Homo sapiens GN=C20orf24 PE=2 SV=1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	11.7	11.7	11.7	15.487	137	137	0.0047647	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	11.7	11.7	11.7	11.7	11.7	11.7	133550000	30409000	26023000	35850000	11587000	13592000	16085000	0	0	0	0	0	21883000	1	1	1	1	0	0	4				1480	5794	True	5805	28474;28475;28476;28477;28478;28479;28480	17768;17769;17770;17771	17771		
sp|Q9BV40|VAMP8_HUMAN	sp|Q9BV40|VAMP8_HUMAN	2	2	2	>sp|Q9BV40|VAMP8_HUMAN Vesicle-associated membrane protein 8 OS=Homo sapiens GN=VAMP8 PE=1 SV=1	1	2	2	2	2	2	2	1	1	2	2	2	2	1	1	2	2	2	2	1	1	2	24	24	24	11.438	100	100	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	24	24	24	14	14	24	568670000	55352000	128220000	135890000	84967000	65691000	98558000	0	0	0	0	0	134080000	1	1	1	1	0	0	4				1481	5215;5256	True;True	5226;5267	25820;25821;25822;25823;25824;25825;26003;26004;26005;26006	16099;16214;16215;16216	16099;16216		
sp|Q9BV86|NTM1A_HUMAN	sp|Q9BV86|NTM1A_HUMAN	1	1	1	>sp|Q9BV86|NTM1A_HUMAN N-terminal Xaa-Pro-Lys N-methyltransferase 1 OS=Homo sapiens GN=NTMT1 PE=1 SV=3	1	1	1	1	0	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	1	0	6.3	6.3	6.3	25.387	223	223	0.0014094	By matching	By MS/MS	By MS/MS	By matching	By matching	By matching	0	6.3	6.3	0	6.3	0	29921000	0	14837000	10448000	0	4635300	0	0	0	0	0	6609900	0	0	1	1	0	0	0	2				1482	6769	True	6784	33000;33001;33002	20658;20659	20659		
sp|Q9BVA1|TBB2B_HUMAN	sp|Q9BVA1|TBB2B_HUMAN	14	5	1	>sp|Q9BVA1|TBB2B_HUMAN Tubulin beta-2B chain OS=Homo sapiens GN=TUBB2B PE=1 SV=1	1	14	5	1	9	10	10	14	12	11	1	2	2	5	4	3	1	1	1	1	1	1	55.1	19.6	2.7	49.953	445	445	0	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	32.6	36	36	55.1	52.4	49	513840000	10687000	12924000	14155000	251160000	116670000	108240000	0	31586000	34500000	323650000	84186000	113710000	0	0	0	6	3	4	13				1483	385;521;2103;2183;2496;2697;2698;3584;3836;4848;5345;6024;6429;7497	False;True;True;False;True;False;False;True;True;False;False;False;False;False	384;521;2110;2190;2503;2704;2705;3591;3844;4859;5356;6037;6444;7515	1797;1798;1799;1800;1801;1802;1803;1804;1805;1806;2500;2501;2502;2503;10333;10334;10335;10681;10682;10683;10684;12111;12112;12113;12114;12115;12116;13080;13081;13082;13083;13084;13085;13086;13087;13088;13089;13090;13091;13092;13093;13094;13095;13096;13097;13098;13099;13100;13101;13102;13103;13104;13105;13106;13107;13108;13109;13110;13111;13112;13113;13114;13115;13116;13117;13118;13119;13120;13121;17723;17724;17725;17726;17727;17728;18938;23996;23997;23998;23999;24000;24001;24002;24003;24004;24005;24006;24007;24008;24009;26440;26441;26442;26443;26444;26445;29523;29524;29525;31331;31332;31333;31334;31335;31336;31337;31338;31339;36573;36574;36575;36576;36577;36578;36579;36580;36581	1153;1154;1155;1156;1157;1158;1159;1160;1590;6430;6431;6657;6658;7524;7525;7526;7527;7528;7529;8139;8140;8141;8142;8143;8144;8145;8146;8147;8148;8149;8150;8151;8152;8153;8154;8155;8156;8157;8158;8159;8160;11055;11056;11057;11058;11059;11852;14959;14960;14961;14962;14963;14964;14965;14966;14967;14968;14969;14970;14971;14972;14973;14974;16494;16495;16496;16497;16498;16499;18450;19640;19641;19642;19643;19644;19645;19646;19647;19648;19649;19650;19651;19652;19653;19654;19655;19656;19657;22947;22948;22949;22950;22951;22952;22953	1159;1590;6431;6657;7529;8141;8154;11058;11852;14959;16494;18450;19650;22951		
sp|Q9BVC6|TM109_HUMAN	sp|Q9BVC6|TM109_HUMAN	1	1	1	>sp|Q9BVC6|TM109_HUMAN Transmembrane protein 109 OS=Homo sapiens GN=TMEM109 PE=1 SV=1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	4.9	4.9	4.9	26.21	243	243	0.0018519	By matching	By matching	By MS/MS	By matching	By matching	By matching	4.9	4.9	4.9	0	0	0	133690000	60748000	43369000	29577000	0	0	0	0	0	24855000	0	0	0	0	0	1	0	0	0	1				1484	1579	True	1583	7768;7769;7770	4810	4810		
sp|Q9BVG4|PBDC1_HUMAN	sp|Q9BVG4|PBDC1_HUMAN	1	1	1	>sp|Q9BVG4|PBDC1_HUMAN Protein PBDC1 OS=Homo sapiens GN=PBDC1 PE=1 SV=1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	7.3	7.3	7.3	26.056	233	233	0	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	7.3	7.3	7.3	0	0	0	13385000	0	6857100	6527800	0	0	0	0	0	5485700	0	0	0	1	1	0	0	0	0	2				1485	4149	True	4157	20544;20545;20546	12836;12837	12836		
sp|Q9BVP2|GNL3_HUMAN	sp|Q9BVP2|GNL3_HUMAN	1	1	1	>sp|Q9BVP2|GNL3_HUMAN Guanine nucleotide-binding protein-like 3 OS=Homo sapiens GN=GNL3 PE=1 SV=2	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2.7	2.7	2.7	61.992	549	549	0.0018622	By matching	By matching	By MS/MS	By matching	By matching	By matching	0	0	2.7	0	0	0	1682600	0	0	1682600	0	0	0	0	0	1414000	0	0	0	0	0	0	0	0	0	0				1486	7224	True	7241	35262	22102	22102		
sp|Q9BWD1|THIC_HUMAN	sp|Q9BWD1|THIC_HUMAN	2	2	2	>sp|Q9BWD1|THIC_HUMAN Acetyl-CoA acetyltransferase, cytosolic OS=Homo sapiens GN=ACAT2 PE=1 SV=2	1	2	2	2	2	2	2	0	0	0	2	2	2	0	0	0	2	2	2	0	0	0	12.8	12.8	12.8	41.35	397	397	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	12.8	12.8	12.8	0	0	0	120190000	42641000	35510000	42040000	0	0	0	31818000	27856000	35326000	0	0	0	2	3	2	0	0	0	7				1487	759;6588	True;True	760;6603	3535;3536;3537;32159;32160;32161;32162;32163;32164	2282;2283;2284;20159;20160;20161;20162	2283;20162		
sp|Q9BWE0|REPI1_HUMAN	sp|Q9BWE0|REPI1_HUMAN	1	1	1	>sp|Q9BWE0|REPI1_HUMAN Replication initiator 1 OS=Homo sapiens GN=REPIN1 PE=1 SV=1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	2.6	2.6	2.6	63.574	567	567	0.0046866	By MS/MS	By MS/MS	By matching	By matching	By matching	By matching	2.6	2.6	2.6	0	0	0	48919000	16568000	20582000	11769000	0	0	0	0	0	9890500	0	0	0	1	1	0	0	0	0	2				1488	4568	True	4579	22679;22680;22681	14147;14148	14148		
sp|Q9BWF3|RBM4_HUMAN;sp|Q9BQ04|RBM4B_HUMAN	sp|Q9BWF3|RBM4_HUMAN	3;1	3;1	3;1	>sp|Q9BWF3|RBM4_HUMAN RNA-binding protein 4 OS=Homo sapiens GN=RBM4 PE=1 SV=1	2	3	3	3	3	3	3	1	1	1	3	3	3	1	1	1	3	3	3	1	1	1	14.3	14.3	14.3	40.313	364	364;359	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	14.3	14.3	14.3	2.2	2.2	2.2	172360000	58305000	49987000	49875000	5301700	5006200	3884200	40865000	42287000	41566000	0	0	0	3	2	2	0	0	0	7				1489	719;6117;6907	True;True;True	720;6130;6924	3367;3368;3369;29947;29948;29949;29950;29951;29952;33666;33667;33668	2177;2178;2179;18727;21084;21085;21086	2178;18727;21084		
sp|Q9BWN1|PRR14_HUMAN	sp|Q9BWN1|PRR14_HUMAN	1	1	1	>sp|Q9BWN1|PRR14_HUMAN Proline-rich protein 14 OS=Homo sapiens GN=PRR14 PE=1 SV=1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	1.4	1.4	1.4	64.328	585	585	0.0090498	By matching	By matching	By matching	By MS/MS	By matching	By matching	0	0	0	1.4	1.4	1.4	329570000	0	0	0	158590000	168400000	2575700	0	0	0	0	0	3504000	0	0	0	1	0	0	1				1490	5424	True	5435	26773;26774;26775	16711	16711		
sp|Q9BXP5|SRRT_HUMAN	sp|Q9BXP5|SRRT_HUMAN	7	7	7	>sp|Q9BXP5|SRRT_HUMAN Serrate RNA effector molecule homolog OS=Homo sapiens GN=SRRT PE=1 SV=1	1	7	7	7	7	6	6	4	2	3	7	6	6	4	2	3	7	6	6	4	2	3	9.1	9.1	9.1	100.67	876	876	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	9.1	7.6	7.6	5.8	2.7	5.1	819370000	322460000	218200000	225240000	20390000	21975000	11104000	176620000	225350000	151600000	35291000	0	44533000	4	3	4	2	0	0	13				1491	964;1702;2176;3510;3658;6937;6938	True;True;True;True;True;True;True	966;1707;2183;3517;3665;6954;6955	4525;4526;4527;4528;4529;4530;8413;8414;8415;8416;10640;10641;10642;10643;10644;17399;17400;18058;18059;18060;33779;33780;33781;33782;33783;33784;33785;33786;33787;33788;33789;33790	2901;2902;5220;5221;5222;6634;6635;6636;10868;11280;21159;21160;21161;21162;21163	2902;5220;6634;10868;11280;21159;21162		
sp|Q9BY32|ITPA_HUMAN	sp|Q9BY32|ITPA_HUMAN	3	3	3	>sp|Q9BY32|ITPA_HUMAN Inosine triphosphate pyrophosphatase OS=Homo sapiens GN=ITPA PE=1 SV=2	1	3	3	3	3	3	3	1	2	1	3	3	3	1	2	1	3	3	3	1	2	1	22.7	22.7	22.7	21.445	194	194	0	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	22.7	22.7	22.7	3.6	11.9	3.6	367710000	121250000	110210000	106540000	8473100	12634000	8598200	74014000	75839000	92103000	0	40741000	0	3	1	3	0	0	0	7				1492	88;3930;4427	True;True;True	88;3938;4437	386;387;388;389;390;391;19473;19474;19475;19476;21983;21984;21985;21986;21987;21988;21989	259;12173;12174;12175;13703;13704;13705	259;12175;13704		
