Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 0	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity 0	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity count 0	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P49821	P49821	1	1	1	NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial	NDUFV1		1	1	1	1	2.2	2.2	2.2	50.817	464	464	0.0019763	6.3198	8240.5	22651	38087	99394	102390	8281.2	23600	38026	93673	98172	1	1	1	1	1	8217400	1				819	4441	True	4434	5432	5809	5809		
P49915	P49915	16	16	16	GMP synthase [glutamine-hydrolyzing]	GMPS		1	16	16	16	23.5	23.5	23.5	76.715	693	693	0	114.95	128240	306080	563810	1694500	1842700	128440	327080	570340	1592700	1760000	16	16	16	16	16	472920000	17				820	275;1777;3064;3367;3393;5389;5757;5933;6144;6575;6649;7219;10053;11055;11311;11770	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	268;1759;3050;3353;3379;5384;5756;5933;6147;6579;6653;7225;10063;11062;11317;11777	352;2170;3724;4076;4105;6571;7025;7245;7512;8010;8097;8772;12129;13335;13629;14195;14196	388;2349;4013;4386;4416;7044;7535;7760;8051;8584;8679;9406;12987;14265;14573;15174;15175	388;2349;4013;4386;4416;7044;7535;7760;8051;8584;8679;9406;12987;14265;14573;15175		
P49916	P49916	3	3	3	DNA ligase 3	LIG3		1	3	3	3	3.3	3.3	3.3	112.91	1009	1009	0	18.676	13604	36883	77051	146800	157950	13881	38079	75686	138540	152460	2	2	2	2	2	13100000	3				821	828;2011;4175	True;True;True	813;1994;4166	1010;2447;5096	1097;2641;5456	1097;2641;5456		
P49959	P49959	4	4	4	Double-strand break repair protein MRE11A	MRE11A		1	4	4	4	6.1	6.1	6.1	80.592	708	708	0	25.805	17080	34559	68487	191340	205640	17009	36930	68976	179840	196720	4	4	4	4	4	40476000	4				822	1911;5557;7488;11584	True;True;True;True	1894;5554;7496;11591	2333;6780;9109;13961	2524;7274;9754;14926	2524;7274;9754;14926		
P50213	P50213	6	6	6	Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	IDH3A		1	6	6	6	18.3	18.3	18.3	39.591	366	366	0	43.562	37110	93120	174770	500320	583410	37341	99154	176900	470410	557020	7	7	7	7	7	88662000	7				823	1087;2100;5467;8615;9071;11152	True;True;True;True;True;True	1073;2084;5464;8624;9083;11159	1329;2561;6671;10439;10987;13448;13449	1434;2758;7156;11142;11736;14381;14382	1434;2758;7156;11142;11736;14381		
P50219	P50219	1	1	1	Motor neuron and pancreas homeobox protein 1	MNX1		1	1	1	1	2	2	2	40.569	401	401	0.0074627	5.8302	2304.6	6350.2	14763	28054	26918	2377	6620.7	14411	26437	26073	1	1	1	1	1	5432100	1				824	482	True	469	599	653	653		
P50238	P50238	2	2	2	Cysteine-rich protein 1	CRIP1		1	2	2	2	22.1	22.1	22.1	8.5328	77	77	0	13.355	29004	73591	155290	331640	363670	29462	76878	153620	312450	349800	5	5	5	5	5	157270000	5				825	2393;4439	True;True	2377;4432	2918;2919;5429;5430	3143;3144;3145;5806;5807	3144;5806		
P50395;P31150	P50395	21;5	21;5	21;5	Rab GDP dissociation inhibitor beta	GDI2		2	21	21	21	52.8	52.8	52.8	50.663	445	445;447	0	180.55	251250	604420	1108500	3492300	3839100	251710	649280	1125900	3281000	3663100	27	27	27	27	27	1034300000	28				826	2023;2394;3856;4081;5970;6603;8247;8509;8633;8634;8957;9022;9324;9939;10360;10757;10847;11364;11771;12092;12238	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2006;2378;3844;4071;5970;6607;8257;8516;8644;8645;8969;9034;9336;9948;10368;10764;10854;11371;11778;12103;12249	2465;2466;2920;2921;4686;4978;4979;7292;8040;10014;10314;10464;10465;10466;10858;10932;11269;11270;11979;12492;12973;13079;13080;13697;14197;14611;14612;14779	2659;2660;3146;3147;5028;5332;5333;7809;8616;10691;11005;11167;11168;11169;11597;11679;12040;12041;12820;13364;13884;13994;13995;14644;15176;15610;15611;15784	2660;3146;5028;5332;7809;8616;10691;11005;11167;11169;11597;11679;12041;12820;13364;13884;13995;14644;15176;15611;15784		
P50402	P50402	3	3	3	Emerin	EMD		1	3	3	3	15.4	15.4	15.4	28.994	254	254	0	23.934	11750	28878	71766	127720	131100	11998	30111	70095	120350	126980	2	3	3	3	3	45036000	3				827	6376;8309;11373	True;True;True	6380;8317;11380	7784;10088;13706	8344;10767;14653	8344;10767;14653		
P50416	P50416	4	4	4	Carnitine O-palmitoyltransferase 1, liver isoform	CPT1A		1	4	4	4	5.4	5.4	5.4	88.367	773	773	0	30.329	12409	39654	68376	200620	231330	12633	41934	69152	188740	220810	4	4	4	4	4	39560000	4				828	3176;4246;5830;9432	True;True;True;True	3162;4237;5830;9444	3858;5188;7113;11389	4154;5553;7626;12168	4154;5553;7626;12168		
P50454	P50454	6	6	6	Serpin H1	SERPINH1		1	6	6	6	15.8	15.8	15.8	46.44	418	418	0	40.841	49184	114230	212870	564110	607030	49212	120480	213460	530870	581290	7	7	7	7	7	103340000	7				829	1389;1419;5182;6727;7885;8226	True;True;True;True;True;True	1374;1404;5177;6731;7895;8236	1689;1721;1722;6321;8179;9579;9989	1824;1862;1863;6778;8764;10239;10664	1824;1863;6778;8764;10239;10664		
P50502;Q8NFI4;Q8IZP2	P50502;Q8NFI4;Q8IZP2	12;10;6	12;10;6	12;10;6	Hsc70-interacting protein;Putative protein FAM10A5;Putative protein FAM10A4	ST13;ST13P5;ST13P4	;;	3	12	12	12	32.2	32.2	32.2	41.331	369	369;369;240	0	106.54	171090	411490	732960	2066000	2305200	171080	434780	739750	1943900	2203300	17	17	17	17	17	933700000	18				830	687;696;697;1200;3602;7029;7162;7619;9933;11386;12024;12086	True;True;True;True;True;True;True;True;True;True;True;True	671;680;681;1187;3589;7034;7168;7627;9942;11393;12034;12097	843;844;855;856;857;1474;4358;8517;8518;8710;9263;11973;13723;13724;14512;14513;14603	924;925;936;937;938;1593;4679;9134;9135;9342;9915;12814;14670;14671;15504;15505;15600;15601	924;936;938;1593;4679;9134;9342;9915;12814;14670;15505;15600		
P50570	P50570	2	2	2	Dynamin-2	DNM2		1	2	2	2	3.1	3.1	3.1	98.063	870	870	0	15.643	9333	19342	42743	112670	127370	9373.2	20799	42949	105850	121860	2	2	2	2	2	10074000	2				831	915;8894	True;True	900;8906	1114;10777	1204;11506	1204;11506		
P50579	P50579	7	7	7	Methionine aminopeptidase 2	METAP2		1	7	7	7	24.1	24.1	24.1	52.891	478	478	0	69.467	17295	45784	85345	269150	287900	17413	49289	86402	252820	274830	7	8	8	8	8	57031000	8				832	835;1711;4888;5741;7095;8758;9808	True;True;True;True;True;True;True	820;1693;4882;5740;7101;8770;9819	1020;2090;5966;7005;8603;10614;11831	1107;2262;6390;6391;7515;9223;11333;12654	1107;2262;6390;7515;9223;11333;12654		
P50583	P50583	1	1	1	Bis(5-nucleosyl)-tetraphosphatase [asymmetrical]	NUDT2		1	1	1	1	10.2	10.2	10.2	16.829	147	147	0.00056818	8.1742	6197.3	17195	32962	84143	97827	6291.9	18118	33053	79194	93605	1	1	1	1	1	8568600	1				833	4538	True	4531	5544	5937	5937		
P50914	P50914	4	4	4	60S ribosomal protein L14	RPL14		1	4	4	4	18.6	18.6	18.6	23.432	215	215	0	45.764	54470	126790	223750	666350	773000	54323	134660	227450	626660	737590	7	7	7	7	7	448220000	7				834	974;1623;6587;8102	True;True;True;True	959;1605;6591;8112	1194;1986;1987;8022;9829;9830	1293;1294;2152;2153;8597;10500;10501	1293;2153;8597;10501		
P50990	P50990	29	29	29	T-complex protein 1 subunit theta	CCT8		1	29	29	29	56.8	56.8	56.8	59.62	548	548	0	289.12	414520	987060	1813000	5176300	5549300	415040	1048100	1826000	4868000	5306600	39	39	39	39	39	2308300000	40				835	676;799;1079;1436;1892;2114;2634;3031;3055;3438;3644;4299;5041;5295;5521;6282;6431;7076;8157;8217;8655;9048;9283;9503;10686;11309;11407;11568;12740	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	660;784;1065;1421;1875;2098;2619;3017;3041;3424;3631;4290;5035;5290;5518;6285;6435;7082;8167;8227;8665;9060;9295;9515;10694;11315;11414;11575;12753	828;829;974;975;1320;1321;1760;2310;2577;2578;3204;3684;3714;4160;4161;4406;5252;5253;6144;6468;6732;7677;7845;8576;9896;9897;9977;9978;10488;10961;11223;11468;12881;12882;13626;13747;13943;15417	908;909;1058;1059;1060;1425;1426;1905;2497;2775;2776;3457;3972;3973;4003;4474;4475;4729;5620;5621;6583;6936;7222;8227;8410;9196;10567;10568;10651;10652;11191;11709;11991;12255;13774;13775;14569;14695;14908;16473	909;1058;1425;1905;2497;2776;3457;3972;4003;4474;4729;5621;6583;6936;7222;8227;8410;9196;10568;10652;11191;11709;11991;12255;13775;14569;14695;14908;16473		
P50991	P50991	26	26	26	T-complex protein 1 subunit delta	CCT4		1	26	26	26	59.6	59.6	59.6	57.924	539	539	0	275.77	277310	679310	1330800	3270300	3655800	279410	714510	1329700	3078500	3503500	35	35	35	35	35	1439500000	35				836	502;885;1140;1410;1580;1686;1904;1973;4018;4280;4556;5544;5692;6103;7358;8461;8524;9105;9365;10017;10773;11067;11343;11772;12193;12351	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	489;870;1127;1395;1563;1668;1887;1956;4008;4271;4549;5541;5690;6105;7364;8468;8534;9117;9377;10027;10780;11074;11350;11779;12204;12362	620;621;1081;1082;1401;1402;1711;1934;1935;2060;2061;2325;2408;4889;5228;5566;6762;6949;7460;8947;10258;10334;11024;11315;12077;12993;13349;13673;14198;14199;14727;14926	675;676;1169;1170;1512;1513;1514;1851;1852;2098;2099;2229;2230;2513;2600;5236;5594;5960;7253;7453;7998;9586;10947;11028;11777;11778;12091;12926;13905;14280;14620;15177;15178;15729;15946	676;1169;1514;1852;2099;2230;2513;2600;5236;5594;5960;7253;7453;7998;9586;10947;11028;11777;12091;12926;13905;14280;14620;15177;15729;15946		
P50995;P27216	P50995	12;1	12;1	12;1	Annexin A11	ANXA11		2	12	12	12	26.1	26.1	26.1	54.389	505	505;316	0	103.64	113040	277380	496650	1547500	1762400	113220	296690	505410	1454400	1680900	13	13	13	13	13	374500000	13				837	667;1696;3199;3931;4404;5137;9024;9403;9948;9972;11021;11149	True;True;True;True;True;True;True;True;True;True;True;True	651;1678;3185;3919;4396;5132;9036;9415;9957;9982;11028;11156	814;2072;2073;3886;4774;5385;6259;10934;11357;11989;12021;13296;13445	892;2244;2245;4185;5116;5761;6711;11681;12135;12830;12866;14224;14378	892;2244;4185;5116;5761;6711;11681;12135;12830;12866;14224;14378		
P51114;P51116	P51114	9;1	9;1	9;1	Fragile X mental retardation syndrome-related protein 1	FXR1		2	9	9	9	15.9	15.9	15.9	69.72	621	621;673	0	71.643	67923	166100	323760	813390	865500	68403	175020	323020	765540	829940	9	9	9	9	9	178060000	9				838	2455;2456;2637;4409;5599;6404;6922;9486;11818	True;True;True;True;True;True;True;True;True	2440;2441;2622;4401;5597;6408;6927;9498;11827	2996;2997;3208;5391;6831;7814;8397;11449;14262	3232;3233;3461;5767;7327;8375;9004;12234;15243	3232;3233;3461;5767;7327;8375;9004;12234;15243		
P51148;P61020;P20339	P51148	5;2;2	5;2;2	5;2;2	Ras-related protein Rab-5C	RAB5C		3	5	5	5	28.2	28.2	28.2	23.482	216	216;215;215	0	45.169	28059	72585	139760	412010	465590	28347	77801	141350	387150	444540	6	6	6	6	6	66455000	6				839	3729;5121;9162;10707;12651	True;True;True;True;True	3716;5116;9174;10715;12662	4511;6241;11090;12909;15306	4837;6691;6692;11848;13804;16353	4837;6692;11848;13804;16353		
P51149	P51149	9	9	9	Ras-related protein Rab-7a	RAB7A		1	9	9	9	44	44	44	23.489	207	207	0	63.407	99285	241450	469170	1253400	1394600	99927	256080	471170	1178900	1334400	10	10	10	10	10	249190000	10				840	1137;1357;1772;2162;3563;3984;8920;11208;11798	True;True;True;True;True;True;True;True;True	1124;1342;1754;2146;3550;3972;8932;11214;11805	1397;1651;1652;2163;2638;4309;4836;10814;13509;14233	1506;1786;1787;2342;2839;4627;5182;11552;14444;15213	1506;1786;2342;2839;4627;5182;11552;14444;15213		
P51398	P51398	1	1	1	28S ribosomal protein S29, mitochondrial	DAP3		1	1	1	1	5	5	5	45.566	398	398	0.00058962	9.7919	1587.9	6774.8	10190	35116	40487	1638.1	7183.9	10420	33029	38548	1	1	1	1	1	7206800	1				841	2790	True	2775	3386	3650	3650		
P51531	P51531	4	1	1	Probable global transcription activator SNF2L2	SMARCA2		1	4	1	1	2.4	0.4	0.4	181.28	1590	1590	0.0038554	6.1132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				842	7692;8069;9269;11969	False;False;True;False	7700;8079;9281;11978	9345;9791;11206;14447	10001;10462;11974;15435	10001;10462;11974;15435		
P51532	P51532	4	4	1	Transcription activator BRG1	SMARCA4		1	4	4	1	2.3	2.3	0.4	184.64	1647	1647	0	29.036	25221	56751	123800	298360	318920	25453	60276	123210	280590	306070	4	4	4	4	4	33719000	4				843	1169;7692;8069;11969	True;True;True;True	1156;7700;8079;11978	1435;9345;9791;14447	1550;10001;10462;15435	1550;10001;10462;15435		
P51570	P51570	1	1	1	Galactokinase	GALK1		1	1	1	1	2.6	2.6	2.6	42.272	392	392	0.0019871	6.3482	9876.4	26858	51077	132930	142030	10006	28334	51028	125100	136080	1	1	1	1	1	11207000	1				844	7877	True	7887	9571	10231	10231		
P51571	P51571	1	1	1	Translocon-associated protein subunit delta	SSR4		1	1	1	1	6.4	6.4	6.4	18.998	173	173	0	26.466	17480	38347	71369	226710	244350	17426	41313	72508	212950	233190	2	2	2	2	2	99435000	2				845	3749	True	3736	4535;4536	4862;4863	4863		
P51572	P51572	16	16	16	B-cell receptor-associated protein 31	BCAP31		1	16	16	16	41.5	41.5	41.5	27.991	246	246	0	113.61	185170	441560	769870	2335900	2542900	184810	469320	779960	2196600	2428300	17	17	17	17	17	890930000	19				846	454;4118;6777;6803;6960;6961;7158;7499;7589;7833;7834;9137;9430;12052;12725;12726	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	443;4108;6782;6808;6965;6966;7164;7507;7597;7843;7844;9149;9442;12062;12738;12739	572;5024;8235;8263;8440;8441;8706;9125;9227;9522;9523;9524;11063;11387;14551;15398;15399	624;5381;5382;8828;8857;9050;9051;9338;9771;9877;9878;10181;10182;10183;11818;12166;15544;16453;16454	624;5382;8828;8857;9050;9051;9338;9771;9878;10182;10183;11818;12166;15544;16453;16454		
P51610	P51610	5	5	5	Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6	HCFC1		1	5	5	5	2.9	2.9	2.9	208.73	2035	2035	0	37.366	53342	123880	259090	602280	649940	53791	130430	257510	566900	624120	6	6	6	6	6	69984000	6				847	3368;4870;5515;6786;12035	True;True;True;True;True	3354;4864;5512;6791;12045	4077;5944;5945;6725;8245;14526	4387;6363;6364;7215;8839;15518	4387;6363;7215;8839;15518		
P51659	P51659	7	7	7	Peroxisomal multifunctional enzyme type 2;(3R)-hydroxyacyl-CoA dehydrogenase;Enoyl-CoA hydratase 2	HSD17B4		1	7	7	7	9.8	9.8	9.8	79.685	736	736	0	47.532	34860	83553	154390	491760	553380	34932	89964	157210	461920	527710	7	7	7	7	7	95440000	7				848	249;1424;3656;4493;6031;8776;12396	True;True;True;True;True;True;True	243;1408;3643;4486;6032;8788;12407	320;1726;4421;5494;7366;10637;14977	355;1868;4744;5882;7895;11358;16003	355;1868;4744;5882;7895;11358;16003		
P51665	P51665	4	4	4	26S proteasome non-ATPase regulatory subunit 7	PSMD7		1	4	4	4	10.2	10.2	10.2	37.025	324	324	0	30.295	26882	64582	120270	354990	385320	26955	68953	121460	333690	368160	4	4	4	4	4	79121000	4				849	1913;2322;6123;12320	True;True;True;True	1896;2306;6126;12331	2335;2828;7487;14878	2526;3047;8026;15890	2526;3047;8026;15890		
P51809	P51809	1	1	1	Vesicle-associated membrane protein 7	VAMP7		1	1	1	1	5.5	5.5	5.5	24.935	220	220	0.00054855	7.4607	8987.3	24275	43768	117240	128650	9064.7	25541	43907	110360	123120	1	1	1	1	1	8478700	1				850	12015	True	12024	14500	15490	15490		
P51858;Q5TGJ6	P51858	17;1	17;1	16;1	Hepatoma-derived growth factor	HDGF		2	17	17	16	66.2	66.2	62.9	26.788	240	240;251	0	170.95	161450	374420	700290	2002100	2082200	161560	398460	704070	1882400	1992300	23	23	23	23	23	794750000	24				851	578;1272;2017;2018;2452;2480;2481;3789;4880;4881;5249;5547;6492;6505;6828;6829;9865	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	563;1257;2000;2001;2437;2465;2466;3776;4874;4875;5244;5544;6496;6509;6833;6834;9876	714;1552;1553;2456;2457;2993;3023;3024;4591;5957;5958;5959;6406;6765;6766;7914;7928;8294;8295;11895;11896	783;1681;1682;1683;2650;2651;3229;3260;3261;3262;4919;6381;6382;6383;6865;6866;7256;7257;8481;8495;8891;8892;12730;12731	783;1682;2650;2651;3229;3261;3262;4919;6381;6382;6866;7257;8481;8495;8891;8892;12731		
P51965;Q96LR5;Q969T4	P51965;Q96LR5;Q969T4	1;1;1	1;1;1	1;1;1	Ubiquitin-conjugating enzyme E2 E1;Ubiquitin-conjugating enzyme E2 E2;Ubiquitin-conjugating enzyme E2 E3	UBE2E1;UBE2E2;UBE2E3	;;	3	1	1	1	4.1	4.1	4.1	21.404	193	193;201;207	0.0010504	6.8353	12665	31660	60603	160040	156120	12758	33477	60334	150570	149830	1	1	1	1	1	50875000	1				852	4257	True	4248	5200	5565	5565		
P51970	P51970	2	2	2	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8	NDUFA8		1	2	2	2	12.2	12.2	12.2	20.105	172	172	0	12.867	4812.1	12998	23991	57271	63709	4861.8	13548	23914	53972	61100	2	2	2	2	2	8593100	2				853	18;19	True;True	17;18	19;20	19;20	19;20		
P51991	P51991	12	11	11	Heterogeneous nuclear ribonucleoprotein A3	HNRNPA3		1	12	11	11	32	30.2	30.2	39.594	378	378	0	143.15	162530	413260	797630	2193100	2375200	164020	439400	800750	2062300	2272600	21	21	21	21	21	1038300000	21				854	2670;4295;4492;4507;5620;5651;6639;7273;8381;9586;10452;12441	True;True;False;True;True;True;True;True;True;True;True;True	2655;4286;4485;4500;5618;5649;6643;7279;8388;9598;10460;12452	3249;5246;5247;5493;5509;6856;6857;6898;8083;8836;8837;10168;11581;11582;11583;12601;15054;15055	3508;5614;5615;5881;5898;7353;7354;7396;8664;9471;9472;10851;10852;10853;12379;12380;12381;13477;13478;13479;16093;16094	3508;5614;5881;5898;7354;7396;8664;9471;10852;12380;13478;16094		
P52209	P52209	17	17	17	6-phosphogluconate dehydrogenase, decarboxylating	PGD		1	17	17	17	45.8	45.8	45.8	53.139	483	483	0	163.21	200610	498340	881070	2812800	3244700	200910	533780	899160	2643300	3092900	24	24	24	24	24	1349900000	25				855	631;2357;2412;2599;3968;3974;4578;5283;8160;8937;9841;9999;10951;11513;11745;12475;12628	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	616;2341;2396;2584;3956;3962;4572;5278;8170;8949;9852;10009;10958;11520;11752;12486;12639	774;775;2872;2942;3164;3165;4816;4822;5598;5599;6451;9901;10835;11867;12053;13210;13211;13877;14165;14166;15093;15279;15280	850;851;3095;3170;3414;3415;3416;5160;5161;5168;5995;5996;6918;10572;11574;12696;12899;14134;14135;14839;15140;15141;16133;16325;16326	851;3095;3170;3415;5161;5168;5995;6918;10572;11574;12696;12899;14135;14839;15140;16133;16325		
P52272	P52272	42	42	42	Heterogeneous nuclear ribonucleoprotein M	HNRNPM		1	42	42	42	57.5	57.5	57.5	77.515	730	730	0	323.31	428010	1046000	1935300	5540000	6450200	429480	1111900	1959700	5209500	6158500	54	54	54	54	54	2928400000	55				856	82;271;324;528;1959;3540;3735;3736;3739;3800;3933;4196;4237;4311;4564;5704;5937;6240;6251;7350;7384;7522;8258;8284;8405;8406;8408;8416;8419;8420;8422;8423;8426;8429;8432;8433;8669;8872;9236;9588;11739;11840	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	81;264;315;515;1942;3527;3722;3723;3726;3787;3921;4187;4228;4302;4557;4558;5702;5937;6243;6254;7356;7390;7530;8268;8294;8412;8413;8415;8423;8426;8427;8429;8430;8433;8436;8439;8440;8680;8884;9248;9600;11746;11849	100;101;347;410;648;649;2393;4283;4519;4520;4521;4524;4607;4776;5122;5177;5266;5576;5577;6963;7249;7250;7628;7640;8938;8981;8982;9151;10028;10061;10196;10197;10199;10207;10208;10211;10212;10214;10215;10216;10219;10222;10225;10226;10508;10751;11171;11585;14158;14288;14289	110;111;383;451;705;706;2585;4601;4845;4846;4847;4850;4851;4935;5118;5484;5541;5542;5635;5971;5972;7468;7764;7765;8170;8184;9577;9621;9622;9798;10705;10706;10740;10881;10882;10884;10892;10893;10896;10897;10899;10900;10901;10905;10909;10912;10913;10914;11213;11477;11934;12383;15133;15272;15273	110;383;451;706;2585;4601;4845;4847;4850;4935;5118;5484;5541;5635;5972;7468;7764;8170;8184;9577;9622;9798;10705;10740;10881;10882;10884;10893;10896;10897;10899;10901;10905;10909;10913;10914;11213;11477;11934;12383;15133;15272	38	334
P52292	P52292	9	9	9	Importin subunit alpha-1	KPNA2		1	9	9	9	27.8	27.8	27.8	57.861	529	529	0	85.467	58508	143120	273980	786250	956110	58849	152790	278240	739060	912170	11	11	11	11	11	247980000	11				857	1283;2585;4584;6330;7612;7630;8923;10910;12608	True;True;True;True;True;True;True;True;True	1268;2570;4578;6334;7620;7638;8935;10917;12619	1568;3147;3148;5605;7736;9254;9255;9275;10817;13160;15254	1698;3397;3398;6003;8290;9906;9907;9929;11555;14079;16300	1698;3398;6003;8290;9907;9929;11555;14079;16300		
P52434	P52434	2	2	2	DNA-directed RNA polymerases I, II, and III subunit RPABC3	POLR2H		1	2	2	2	12.7	12.7	12.7	17.143	150	150	0	13.403	13488	27903	56227	138230	139530	13464	29439	55965	130080	134020	2	2	2	2	2	37268000	2				858	606;1896	True;True	591;1879	744;2314	816;2501	816;2501		
P52565	P52565	7	7	7	Rho GDP-dissociation inhibitor 1	ARHGDIA		1	7	7	7	41.7	41.7	41.7	23.207	204	204	0	144.56	154810	376600	674390	1923200	2042500	154970	398670	678800	1809200	1953500	8	8	8	8	8	1131200000	8				859	406;471;2957;5560;10134;10135;10789	True;True;True;True;True;True;True	396;459;2943;5558;10144;10145;10796	515;516;589;3599;6785;12227;12228;13010	563;564;643;3885;7279;13088;13089;13922	564;643;3885;7279;13088;13089;13922		
P52566	P52566	8	8	8	Rho GDP-dissociation inhibitor 2	ARHGDIB		1	8	8	8	50.2	50.2	50.2	22.988	201	201	0	98.085	122620	291210	547640	1537500	1718000	122940	309450	552320	1445900	1642100	12	12	12	12	12	1286800000	13				860	1070;1100;1349;3125;6422;7771;11046;12843	True;True;True;True;True;True;True;True	1056;1087;1334;3111;6426;7781;11053;12857	1309;1310;1347;1641;3797;3798;7836;9446;13323;13324;15540	1413;1414;1415;1452;1775;4087;4088;8400;10104;10105;14253;14254;16605	1413;1452;1775;4087;8400;10104;14254;16605		
P52597	P52597	8	6	6	Heterogeneous nuclear ribonucleoprotein F;Heterogeneous nuclear ribonucleoprotein F, N-terminally processed	HNRNPF		1	8	6	6	23.6	17.1	17.1	45.671	415	415	0	57.81	68907	169630	319040	867730	953400	69255	179610	320590	816280	912130	7	7	7	7	7	292140000	7				861	1344;2080;3925;4740;6105;10664;10823;11754	False;True;True;True;True;True;True;False	1329;2063;3913;4734;6107;10672;10830;11761	1635;1636;2533;4767;5791;7462;12856;12857;13049;14176;14177	1769;1770;2728;5109;6196;8000;13747;13748;13963;15152;15153;15154	1769;2728;5109;6196;8000;13747;13963;15153		
P52701	P52701	5	5	5	DNA mismatch repair protein Msh6	MSH6		1	5	5	5	5.1	5.1	5.1	152.78	1360	1360	0	39.705	21793	50918	93174	276200	337210	21788	54278	94993	259660	321520	5	5	5	5	5	57963000	5				862	725;5092;8871;10556;11572	True;True;True;True;True	710;5086;8883;10564;11579	888;6207;10750;12731;13947	969;6656;11476;13618;14912	969;6656;11476;13618;14912		
P52732	P52732	1	1	1	Kinesin-like protein KIF11	KIF11		1	1	1	1	0.9	0.9	0.9	119.16	1056	1056	0.0029499	6.2877	7304.8	18852	38645	99601	111670	7413.2	20035	38689	93662	106910	1	1	1	1	1	7089100	1				863	5660	True	5658	6913	7412	7412		
P52788	P52788	2	2	2	Spermine synthase	SMS		1	2	2	2	10.1	10.1	10.1	41.268	366	366	0	14.425	0	1613.8	2234	6749.9	7748.5	0	1673.7	2239.5	6365.4	7393.1	0	1	1	1	1	6777300	2				864	2742;3141	True;True	2727;3127	3329;3821	3589;4112	3589;4112		
P52789	P52789	1	1	1	Hexokinase-2	HK2		1	1	1	1	1.2	1.2	1.2	102.38	917	917	0.0015472	6.6827	3602.6	11843	16387	60290	72340	3616.4	12533	16975	56718	68774	1	1	1	1	1	3521200	1				865	9043	True	9055	10954	11701	11701		
P52815	P52815	5	5	5	39S ribosomal protein L12, mitochondrial	MRPL12		1	5	5	5	33.3	33.3	33.3	21.348	198	198	0	46.544	24881	63031	108950	351670	405140	24914	67418	111280	330510	386130	4	4	4	4	4	183460000	5				866	5990;6689;8020;8122;9083	True;True;True;True;True	5991;6693;8030;8132;9095	7317;8139;9733;9853;11001	7843;8723;10401;10524;11751	7843;8723;10401;10524;11751		
P52888	P52888	7	7	7	Thimet oligopeptidase	THOP1		1	7	7	7	11.5	11.5	11.5	78.839	689	689	0	44.836	72789	180300	350250	836940	862710	73353	188920	347820	788200	828790	7	7	7	7	7	114270000	7				867	1478;3074;7541;9860;11566;12422;12755	True;True;True;True;True;True;True	1463;3060;7549;9871;11573;12433;12768	1810;3735;9171;11889;13941;15010;15434	1964;4025;9818;12724;14906;16037;16490	1964;4025;9818;12724;14906;16037;16490		
P52907	P52907	6	6	6	F-actin-capping protein subunit alpha-1	CAPZA1		1	6	6	6	26.2	26.2	26.2	32.922	286	286	0	58.019	49252	114390	213680	593370	647800	49288	121310	215100	558100	619580	10	10	10	10	10	169950000	10				868	307;2569;2769;3349;6374;10941	True;True;True;True;True;True	298;2554;2754;3335;6378;10948	388;3129;3361;3362;4057;7782;13198;13199	428;3378;3623;3624;3625;4364;4365;8342;14121;14122	428;3378;3624;4364;8342;14121		
